identifier,ec_numbers,localization,Gene3D
Q6ZMR3,other,Cytoplasm,other
Q6ZMV9,,other,other
Q6ZMY3,,other,other
Q6ZN11,,Nucleus,"6.10.140.140, 3.30.160.60"
Q6ZN28,,"Cytoplasm, Nucleus",other
Q6ZN54,,,other
Q6ZNB6,,Membrane,
Q6ZNW5,other,Cytoplasm,
Q6ZP65,,other,
Q6ZQR2,,other,
Q6ZR52,,Nucleus,3.30.160.60
Q6ZRH7,,other,
Q6ZRI8,,,other
Q6ZS27,,Nucleus,3.30.160.60
Q6ZS72,,,
Q6ZSG2,,other,
Q6ZTA4,,other,other
Q6ZTI6,,other,
Q6ZTQ3,,,
Q6ZTR7,,other,other
Q6ZUB1,,Membrane,
Q6ZUT9,,Membrane,other
Q6ZUX3,,,other
Q6ZVH7,,other,other
Q6ZVX7,,Cytoplasm,other
Q6ZVX9,,Cell membrane,
Q6ZW05,,Membrane,other
Q6ZWE6,,other,other
Q6ZWJ8,,Secreted,other
Q6ZWK6,3.4.21,Membrane,other
Q701N2,,,
Q711Q0,,other,
Q717R9,,other,
Q71RH2,2.3.1,other,
Q76B58,,other,
Q76KP1,2.4.1,other,
Q7L0R7,,,other
Q7L1V2,,,
Q7L2K0,,other,
Q7L3S4,,Nucleus,3.30.160.60
Q7L3T8,other,other,other
Q7L8C5,,Membrane,other
Q7L8W6,other,,other
Q7L9B9,,,other
Q7M4L6,,,other
Q7RTS6,,Cell membrane,
Q7RTU9,,other,
Q7RTV2,other,Cytoplasm,other
Q7RTV3,,Nucleus,3.30.160.60
Q7RTY5,3.4.21,Secreted,other
Q7RTY8,3.4.21,Cell membrane,other
Q7RTY9,3.4.21,Cell membrane,other
Q7RTZ2,3.4.19,other,other
Q7Z2K8,,other,
Q7Z2T5,2.1.1,,other
Q7Z2W9,,Mitochondrion,
Q7Z340,,Nucleus,"6.10.140.140, 3.30.160.60"
Q7Z398,,Nucleus,"6.10.140.140, 3.30.160.60"
Q7Z3D6,other,other,other
Q7Z3G6,,other,other
Q7Z3T1,,Cell membrane,1.20.1070.10
Q7Z3V4,2.3.2,,other
Q7Z3Z3,,Cytoplasm,other
Q7Z404,,Membrane,
Q7Z444,3.6.5,Cell membrane,3.40.50.300
Q7Z4G4,2.1.1,,other
Q7Z4H3,3.1.3,,other
Q7Z4J2,2.4.1,Membrane,
Q7Z4M0,,other,
Q7Z4Q2,,,other
Q7Z553,,Cell membrane,other
Q7Z5A4,3.4.21,other,other
Q7Z5H4,,Cell membrane,
Q7Z5M8,other,,other
Q7Z601,,Cell membrane,1.20.1070.10
Q7Z692,,Membrane,2.60.40.10
Q7Z6J2,,other,other
Q7Z6K4,,,other
Q7Z6Z6,other,,other
Q7Z745,,other,other
Q7Z7A3,other,Cytoplasm,other
Q7Z7B7,,Secreted,
Q7Z7F7,,Mitochondrion,other
Q7Z7J5,,Nucleus,
Q7Z7J7,,other,
Q7Z7L9,,Nucleus,other
Q7Z7M1,,Membrane,other
Q86SG5,,Cytoplasm,other
Q86SG7,other,Secreted,other
Q86SH2,,other,
Q86SP6,,Cell membrane,1.20.1070.10
Q86SX3,,other,
Q86TA1,,,other
Q86TD4,,other,other
Q86TJ5,,Nucleus,"6.10.140.140, 3.30.160.60"
Q86TN4,other,,other
Q86U38,,,other
Q86UA1,,Nucleus,other
Q86UB2,,"Cytoplasm, Nucleus",
Q86UB9,,other,
Q86UE3,,Nucleus,"6.10.140.140, 3.30.160.60"
Q86UP6,,other,other
Q86UP8,,Nucleus,other
Q86UW8,,other,other
Q86UY8,3.1.3,,other
Q86V21,other,other,other
Q86VI1,,other,other
Q86VR7,,Membrane,2.60.40.10
Q86VZ1,,Cell membrane,1.20.1070.10
Q86W11,,Nucleus,other
Q86W28,,Cytoplasm,other
Q86W33,,Membrane,
Q86W67,,,
Q86WC6,,,other
Q86WI0,,Membrane,
Q86WK7,,Membrane,other
Q86WK9,,Cell membrane,
Q86WN2,,Secreted,other
Q86WS3,,Secreted,other
Q86WW8,,,
Q86X10,,,other
Q86X19,,other,
Q86X27,,other,other
Q86X76,other,other,other
Q86X83,,Cytoplasm,
Q86XD5,,,
Q86XH1,,other,other
Q86XI6,,,other
Q86XN7,,,
Q86XP6,,Secreted,other
Q86XR2,,,other
Q86XR5,,other,
Q86XT9,,Cell membrane,
Q86XW9,,other,other
Q86Y22,,Cell membrane,
Q86Y79,other,,other
Q86YE8,,Nucleus,"6.10.140.140, 3.30.160.60"
Q86YL5,,"Nucleus, Cytoplasm",
Q86YN1,other,Endoplasmic reticulum membrane,other
Q86YV6,2.7.11,,1.10.510.10
Q8IUC0,,,
Q8IUE0,,Nucleus,1.10.10.60
Q8IUE1,,Nucleus,1.10.10.60
Q8IUR0,,other,other
Q8IUZ0,,other,3.80.10.10
Q8IV01,,other,other
Q8IV13,,,other
Q8IVV2,,other,other
Q8IVW1,,other,3.40.50.300
Q8IW03,,Mitochondrion,3.30.160.60
Q8IW36,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8IW93,,,other
Q8IWB9,,other,
Q8IWF6,,other,
Q8IWP9,,,
Q8IWR0,,Nucleus,other
Q8IWY8,,Nucleus,other
Q8IX06,other,"Cytoplasm, Nucleus",other
Q8IX18,3.6.4,,other
Q8IX29,,,other
Q8IXS8,,other,
Q8IXT1,,"Cytoplasm, Nucleus",other
Q8IXT2,,Nucleus,other
Q8IXY8,,,other
Q8IXZ3,,Nucleus,3.30.160.60
Q8IY67,,"Nucleus, Cytoplasm",3.30.70.330
Q8IYD9,,Secreted,
Q8IYK8,,Cell membrane,3.40.50.300
Q8IYL2,2.1.1,Cytoplasm,
Q8IYN2,,Nucleus,
Q8IYS0,,other,other
Q8IYS4,,other,
Q8IYT1,,other,
Q8IYU4,,,
Q8IYX0,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8IZ08,,other,1.20.1070.10
Q8IZ26,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8IZ57,,other,
Q8IZ73,other,,other
Q8IZ83,,,
Q8IZA3,,other,other
Q8IZJ0,,Secreted,other
Q8IZJ4,,other,other
Q8IZM9,,other,
Q8IZP7,other,Membrane,3.40.50.300
Q8IZS5,,,
Q8IZS6,,other,other
Q8IZS7,,Cell membrane,other
Q8IZS8,,Membrane,other
Q8IZT9,,Nucleus,
Q8IZU8,other,Membrane,other
Q8IZV2,,other,
Q8N0T1,,other,
Q8N0U2,,Membrane,
Q8N0Y7,other,,other
Q8N0Z8,other,,other
Q8N103,,,other
Q8N109,,Cell membrane,2.60.40.10
Q8N111,,Membrane,
Q8N112,,Membrane,
Q8N118,other,other,other
Q8N128,,,
Q8N143,,Nucleus,3.30.160.60
Q8N165,2.7.11,Nucleus,1.10.510.10
Q8N184,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8N1D0,,,
Q8N1G4,,,other
Q8N1S5,,other,
Q8N292,,Cell membrane,
Q8N2H3,other,other,other
Q8N365,,other,
Q8N3D4,,other,other
Q8N3J9,,Nucleus,3.30.160.60
Q8N3X1,,,other
Q8N3X6,,Nucleus,1.10.10.60
Q8N436,,Secreted,other
Q8N442,3.6.5,Mitochondrion inner membrane,other
Q8N461,,,3.80.10.10
Q8N475,,Secreted,other
Q8N4G2,,other,3.40.50.300
Q8N4H5,,other,
Q8N4P2,,other,other
Q8N4Q0,other,other,other
Q8N4T4,,Cell membrane,other
Q8N4U5,,other,
Q8N5C1,,Membrane,
Q8N5C7,other,Nucleus,
Q8N5I3,,other,
Q8N5L8,,Nucleus,other
Q8N5M4,,,other
Q8N5N7,,Mitochondrion,
Q8N5R6,,,other
Q8N5S1,,Mitochondrion inner membrane,other
Q8N628,,Cell membrane,1.20.1070.10
Q8N690,,Secreted,
Q8N699,,Nucleus,
Q8N6D5,,,other
Q8N6S5,,other,
Q8N6Y1,,Cell membrane,other
Q8N729,,Secreted,
Q8N7A1,,other,other
Q8N7B1,,other,other
Q8N7B9,,,other
Q8N7K0,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8N7M2,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8N7P3,,other,other
Q8N7R7,,Cell membrane,other
Q8N801,,"Cytoplasm, Nucleus",
Q8N806,2.3.2,,other
Q8N819,3.1.3,,other
Q8N823,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8N831,,,other
Q8N883,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8N8A2,,,other
Q8N8A6,3.6.4,other,3.40.50.300
Q8N8E3,,other,
Q8N8G2,,Nucleus,
Q8N8J6,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8N8K9,,,
Q8N8L2,,Nucleus,3.30.160.60
Q8N8Q9,,other,other
Q8N8R5,,other,
Q8N8Y5,,Nucleus,3.30.160.60
Q8N8Z8,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8N907,,Secreted,other
Q8N954,,other,
Q8N988,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8N9H8,other,,other
Q8N9L1,,Nucleus,3.30.160.60
Q8N9S9,,,other
Q8N9V2,2.3.2,,other
Q8N9W4,,,
Q8N9Z0,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8NA19,,Nucleus,other
Q8NAA4,,other,2.130.10.10
Q8NAF0,,Nucleus,3.30.160.60
Q8NAT2,,Cytoplasm,other
Q8NB25,,other,
Q8NB37,,other,other
Q8NBA8,other,other,
Q8NBF6,,other,
Q8NBH2,other,other,other
Q8NBM8,other,Secreted,other
Q8NBR0,,other,
Q8NBV4,,other,other
Q8NBX0,other,,other
Q8NC96,,other,other
Q8NCA9,,Nucleus,3.30.160.60
Q8NCF0,,other,other
Q8NCK3,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8NCN2,,Nucleus,3.30.160.60
Q8NCQ7,,,other
Q8NCR3,,other,
Q8NCT3,other,,
Q8NCU1,,,
Q8NCV1,,"Nucleus, Cytoplasm",other
Q8NCY6,,,
Q8ND23,,other,other
Q8ND71,,other,3.40.50.300
Q8ND82,,Nucleus,3.30.160.60
Q8NDB6,,Membrane,
Q8NDV2,,Cell membrane,1.20.1070.10
Q8NDX6,,Nucleus,3.30.160.60
Q8NDX9,,Secreted,
Q8NE62,other,Mitochondrion inner membrane,other
Q8NEB7,,other,
Q8NEF3,,other,
Q8NEF9,,other,
Q8NEG0,,,
Q8NEN0,,,other
Q8NEP9,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8NET1,,Secreted,
Q8NEX9,other,Cytoplasm,other
Q8NF86,3.4.21,Secreted,other
Q8NFI3,other,other,other
Q8NFJ8,,Nucleus,other
Q8NFK1,,other,other
Q8NG04,,Membrane,other
Q8NG48,,,
Q8NG68,other,,other
Q8NGA0,,Cell membrane,1.20.1070.10
Q8NGA4,,Cell membrane,1.20.1070.10
Q8NGC8,,Cell membrane,1.20.1070.10
Q8NGD0,,Cell membrane,1.20.1070.10
Q8NGE3,,Cell membrane,1.20.1070.10
Q8NGG2,,Cell membrane,1.20.1070.10
Q8NGI2,,Cell membrane,1.20.1070.10
Q8NGI8,,Cell membrane,1.20.1070.10
Q8NGK2,,Cell membrane,1.20.1070.10
Q8NGM9,,Cell membrane,1.20.1070.10
Q8NGN3,,Cell membrane,1.20.1070.10
Q8NGQ1,,Cell membrane,1.20.1070.10
Q8NGR2,,Cell membrane,1.20.1070.10
Q8NGS2,,Cell membrane,1.20.1070.10
Q8NGS8,,Cell membrane,1.20.1070.10
Q8NGT0,,Cell membrane,1.20.1070.10
Q8NGV6,,Cell membrane,1.20.1070.10
Q8NGW1,,Cell membrane,1.20.1070.10
Q8NGW6,,Cell membrane,1.20.1070.10
Q8NGX3,,Cell membrane,1.20.1070.10
Q8NGY0,,Cell membrane,1.20.1070.10
Q8NGY3,,Cell membrane,1.20.1070.10
Q8NH10,,Cell membrane,1.20.1070.10
Q8NH19,,Cell membrane,1.20.1070.10
Q8NH43,,Cell membrane,1.20.1070.10
Q8NH48,,Cell membrane,1.20.1070.10
Q8NH59,,Cell membrane,1.20.1070.10
Q8NH69,,Cell membrane,1.20.1070.10
Q8NH85,,Cell membrane,1.20.1070.10
Q8NH87,,Cell membrane,1.20.1070.10
Q8NH92,,Cell membrane,1.20.1070.10
Q8NH94,,Cell membrane,1.20.1070.10
Q8NHC8,,Cell membrane,1.20.1070.10
Q8NHK3,,Cell membrane,2.60.40.10
Q8NHM4,3.4.21,Secreted,other
Q8NHP7,,Cytoplasm,other
Q8NHQ8,,,
Q8NHR7,,other,
Q8NHY6,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8NI29,,,other
Q8NI32,,Cell membrane,other
Q8NI99,,Secreted,other
Q8TAA3,,Nucleus,other
Q8TAA5,,other,other
Q8TAE6,,other,other
Q8TAF7,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8TAG6,,other,
Q8TAK5,,Nucleus,other
Q8TAL6,,other,
Q8TAQ5,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8TAQ9,,other,other
Q8TAV4,,Cell membrane,other
Q8TB03,,,
Q8TB52,,,other
Q8TB96,,other,other
Q8TBB5,,,other
Q8TBF4,,other,other
Q8TBF5,,Endoplasmic reticulum membrane,
Q8TBP0,,,other
Q8TBP6,,Mitochondrion inner membrane,other
Q8TBQ9,,other,
Q8TBZ0,,Nucleus,
Q8TBZ5,,Nucleus,3.30.160.60
Q8TC21,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8TC56,,other,
Q8TC76,,other,
Q8TCC3,,Mitochondrion,other
Q8TCD1,,other,
Q8TCD6,3.1.3,,other
Q8TCV5,,Secreted,other
Q8TCW7,,other,other
Q8TCW9,,Cell membrane,1.20.1070.10
Q8TD20,,other,other
Q8TD94,,Nucleus,3.30.160.60
Q8TDE3,other,Secreted,other
Q8TDM0,,Cytoplasm,
Q8TDM5,,other,other
Q8TDN6,,other,other
Q8TDU9,,Cell membrane,1.20.1070.10
Q8TDV2,,Cell membrane,1.20.1070.10
Q8TDV5,,Cell membrane,1.20.1070.10
Q8TDW4,,Membrane,other
Q8TDY8,,Cell membrane,2.60.40.10
Q8TE69,,,
Q8TET4,other,,other
Q8TF21,,other,other
Q8TF39,,Nucleus,other
Q8TF45,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8TF64,,,other
Q8TF68,,Nucleus,3.30.160.60
Q8WUA2,other,Nucleus,other
Q8WUN7,,Cytoplasm,other
Q8WUT4,,Membrane,other
Q8WUX2,other,other,other
Q8WUZ0,,,
Q8WV07,,Nucleus,
Q8WV48,,Membrane,
Q8WV60,,Mitochondrion,other
Q8WVE0,2.1.1,Cytoplasm,
Q8WVH0,,other,other
Q8WVI0,,Mitochondrion inner membrane,
Q8WVL7,,Nucleus,other
Q8WW14,,other,
Q8WW27,other,,other
Q8WWC4,,other,
Q8WWG1,,other,other
Q8WWW8,,,other
Q8WWY7,,Secreted,other
Q8WX77,,Secreted,other
Q8WXA2,,Secreted,
Q8WXB4,,Nucleus,"6.10.140.140, 3.30.160.60"
Q8WXD9,,Cytoplasm,other
Q8WXH6,,Cell membrane,other
Q8WXQ8,other,Secreted,other
Q8WY22,,other,
Q8WYN3,,Nucleus,
Q8WYQ4,,,
Q8WYQ9,,,other
Q8WZ60,,,other
Q8WZ64,,Cytoplasm,other
Q8WZ79,other,other,
Q8WZ84,,Cell membrane,1.20.1070.10
Q8WZ94,,Cell membrane,1.20.1070.10
Q902F9,,other,
Q92561,,,2.60.40.10
Q92610,,Nucleus,3.30.160.60
Q92617,,Membrane,
Q92664,,Nucleus,3.30.160.60
Q92686,,,other
Q92747,,other,2.130.10.10
Q92771,other,Nucleus,3.40.50.300
Q92806,,Membrane,other
Q92828,,,2.130.10.10
Q92914,,,other
Q92928,3.6.5,other,3.40.50.300
Q93073,,,other
Q969I3,2.3.1,,other
Q969M1,,other,other
Q969N4,,Cell membrane,1.20.1070.10
Q969Q0,,Cytoplasm,other
Q969Q4,,,3.40.50.300
Q969T3,,other,other
Q969V1,,Cell membrane,1.20.1070.10
Q969W8,,Nucleus,"6.10.140.140, 3.30.160.60"
Q96A00,,Cytoplasm,other
Q96A04,,,
Q96A05,,,other
Q96A23,,,other
Q96A28,,Membrane,2.60.40.10
Q96A35,,Mitochondrion,other
Q96A46,,other,other
Q96A47,,Nucleus,other
Q96A73,other,Cytoplasm,
Q96A84,,other,
Q96A99,,Secreted,other
Q96AC6,,other,other
Q96AM1,,Cell membrane,1.20.1070.10
Q96B77,,Mitochondrion inner membrane,
Q96BH3,,Secreted,other
Q96BN6,,other,
Q96BQ3,,other,other
Q96BU1,,Nucleus,
Q96BV0,,Nucleus,3.30.160.60
Q96C19,,other,other
Q96C28,,Nucleus,"6.10.140.140, 3.30.160.60"
Q96CM4,,other,other
Q96CW6,,"Cytoplasm, Nucleus",
Q96CX2,,other,
Q96CX3,,other,3.30.160.60
Q96DC8,,Mitochondrion,other
Q96DD7,,Membrane,
Q96DT0,,Nucleus,other
Q96DX4,,Secreted,other
Q96DY2,,other,other
Q96DY7,,,
Q96EF9,,,other
Q96EH8,2.3.2,Cytoplasm,other
Q96EK7,,Nucleus,other
Q96EN9,,,
Q96EU6,,other,
Q96EY9,,,other
Q96FC7,,,2.60.40.10
Q96FH0,,other,
Q96FN5,,other,other
Q96FN9,other,Cytoplasm,other
Q96FV2,,,
Q96GC5,,Mitochondrion,other
Q96GE9,,Mitochondrion inner membrane,
Q96GK7,other,Mitochondrion,other
Q96GX2,,Cytoplasm,
Q96GX8,,,
Q96GY0,,,3.30.160.60
Q96H78,,other,other
Q96HE9,,"Cytoplasm, Nucleus",
Q96HJ9,,Mitochondrion,
Q96HL8,,,other
Q96HQ0,,Nucleus,"6.10.140.140, 3.30.160.60"
Q96HQ2,,,
Q96I36,,other,
Q96I82,,other,other
Q96IG2,,Cytoplasm,3.80.10.10
Q96IK0,,Membrane,
Q96IQ7,,Membrane,2.60.40.10
Q96IX9,,,
Q96J86,,Membrane,
Q96J88,,,
Q96JA4,,Membrane,
Q96JC4,,Nucleus,"6.10.140.140, 3.30.160.60"
Q96JK4,,Secreted,other
Q96JN8,,other,other
Q96JQ2,,Membrane,other
Q96JT2,,Membrane,other
Q96K49,,other,
Q96K62,,Nucleus,3.30.160.60
Q96KC2,,,3.40.50.300
Q96KJ9,,Mitochondrion inner membrane,other
Q96KN1,,,other
Q96KR1,,other,other
Q96KS9,,,
Q96KX0,,other,other
Q96KX2,,other,other
Q96L14,,,
Q96L15,other,Secreted,
Q96L33,,other,3.40.50.300
Q96L94,,other,other
Q96LA9,,Cell membrane,1.20.1070.10
Q96LD1,,other,
Q96LL3,,Cell membrane,
Q96LW2,2.7.11,,1.10.510.10
Q96LW9,,Nucleus,other
Q96LY2,,,
Q96M69,,other,other
Q96M83,,,
Q96M89,,,other
Q96M95,,other,
Q96MA1,,Nucleus,other
Q96MB7,other,"Nucleus, Cytoplasm",
Q96MM6,,,other
Q96MR6,,other,other
Q96MT1,2.3.2,Endoplasmic reticulum membrane,other
Q96MX6,,other,2.130.10.10
Q96N06,,other,
Q96N28,,Mitochondrion,
Q96N38,,Nucleus,3.30.160.60
Q96NL0,,,other
Q96NL1,,other,
Q96NL3,,Nucleus,"6.10.140.140, 3.30.160.60"
Q96NU0,,Membrane,other
Q96NX9,,Nucleus,other
Q96P50,,,other
Q96P69,,Cell membrane,1.20.1070.10
Q96P88,,Cell membrane,1.20.1070.10
Q96PB8,,Membrane,3.80.10.10
Q96PE2,,,other
Q96PE5,,Cell membrane,
Q96PE6,,Nucleus,"6.10.140.140, 3.30.160.60"
Q96PL1,,Secreted,
Q96PL2,,other,other
Q96PQ7,,other,other
Q96PU9,,other,
Q96QR1,,Secreted,
Q96QS1,,Membrane,other
Q96QU6,,,other
Q96QZ0,,other,
Q96R48,,Cell membrane,1.20.1070.10
Q96RA2,,Cell membrane,1.20.1070.10
Q96RI9,,Cell membrane,1.20.1070.10
Q96RJ0,,Cell membrane,1.20.1070.10
Q96RK1,,"Nucleus, Cytoplasm",other
Q96RP8,,Membrane,other
Q96RV3,,Membrane,
Q96S79,3.6.5,Cell membrane,3.40.50.300
Q96S90,,,other
Q96S96,,Secreted,other
Q96SE7,,Nucleus,"6.10.140.140, 3.30.160.60"
Q96SJ8,,Membrane,other
Q96SK2,,other,
Q96SK3,,Nucleus,"6.10.140.140, 3.30.160.60"
Q96SL8,,"Cytoplasm, Nucleus",3.30.160.60
Q96SM3,other,Secreted,other
Q96SR6,,Nucleus,"6.10.140.140, 3.30.160.60"
Q96SY0,,Nucleus,other
Q96T92,,"Cytoplasm, Nucleus",3.30.160.60
Q99218,,other,
Q99442,,Endoplasmic reticulum membrane,
Q99445,,Cell membrane,other
Q99525,,other,other
Q99614,,,other
Q99618,,other,
Q99666,,Cytoplasm,other
Q99678,,Cell membrane,1.20.1070.10
Q99727,,Secreted,other
Q99742,,Nucleus,other
Q99805,,other,
Q99811,,Nucleus,1.10.10.60
Q99819,,Cytoplasm,other
Q99865,,Nucleus,other
Q99954,,Secreted,
Q9BPW4,,Secreted,
Q9BPW8,,other,other
Q9BPX5,,other,other
Q9BPY3,,other,
Q9BQ08,,Secreted,other
Q9BQ61,other,,
Q9BQC6,,Mitochondrion,
Q9BQI7,,other,other
Q9BQI9,,Nucleus,other
Q9BQQ7,,Membrane,
Q9BQR3,3.4.21,Secreted,other
Q9BQS6,,"Cytoplasm, Nucleus",other
Q9BQY9,,,
Q9BR61,,Cytoplasm,other
Q9BR84,,Nucleus,"6.10.140.140, 3.30.160.60"
Q9BRN9,,Membrane,
Q9BRP4,,,2.130.10.10
Q9BRQ4,,other,
Q9BRR8,,,
Q9BRT6,,other,
Q9BRU2,,Nucleus,
Q9BRY0,,other,
Q9BS18,,Nucleus,
Q9BS31,,Nucleus,"6.10.140.140, 3.30.160.60"
Q9BSF4,,Mitochondrion inner membrane,
Q9BSF8,,"Nucleus, Cytoplasm",
Q9BSG0,,Secreted,other
Q9BSG5,,other,
Q9BSH3,,Nucleus,
Q9BSH5,,,other
Q9BSK1,,Nucleus,"6.10.140.140, 3.30.160.60"
Q9BSN7,,other,other
Q9BT76,,Cell membrane,
Q9BTM1,,other,other
Q9BTT6,,other,3.80.10.10
Q9BTV6,other,,2.130.10.10
Q9BU23,,Endoplasmic reticulum membrane,
Q9BU70,2.1.1,,other
Q9BUG6,,Nucleus,other
Q9BUK0,,other,other
Q9BUN1,,Secreted,
Q9BUT9,,other,
Q9BV19,,,
Q9BV99,,,3.80.10.10
Q9BVC5,,Nucleus,
Q9BW30,,other,other
Q9BW72,,other,other
Q9BWW8,,Cytoplasm,
Q9BX82,,Nucleus,"6.10.140.140, 3.30.160.60"
Q9BX93,,Secreted,other
Q9BXA9,,Nucleus,3.30.160.60
Q9BXG8,,"Cytoplasm, Nucleus",
Q9BXK1,,Nucleus,3.30.160.60
Q9BXL5,,Nucleus,
Q9BXT2,,Cell membrane,other
Q9BY21,,Cell membrane,1.20.1070.10
Q9BYC2,other,Mitochondrion,other
Q9BYC9,,Mitochondrion,other
Q9BYD1,,Mitochondrion,other
Q9BYD2,,Mitochondrion,other
Q9BYD3,,Mitochondrion,other
Q9BYN8,,Mitochondrion,
Q9BYQ8,,,
Q9BYQ9,,,
Q9BZ76,,other,other
Q9BZD7,,Membrane,other
Q9BZE1,,Mitochondrion,
Q9BZI1,,Nucleus,1.10.10.60
Q9BZJ6,,Cell membrane,1.20.1070.10
Q9C009,,Nucleus,other
Q9C010,,,
Q9C075,,,other
Q9C099,,other,3.80.10.10
Q9C0B6,,Secreted,
Q9C0D7,other,,other
Q9C0H5,,Nucleus,other
Q9GZK4,,Cell membrane,1.20.1070.10
Q9GZK6,,Cell membrane,1.20.1070.10
Q9GZM6,,Cell membrane,1.20.1070.10
Q9GZP4,,Cytoplasm,other
Q9GZP7,,Cell membrane,1.20.1070.10
Q9GZQ3,,"Cytoplasm, Nucleus",
Q9GZR7,3.6.4,,3.40.50.300
Q9GZT6,,other,other
Q9GZY4,,Mitochondrion inner membrane,
Q9GZZ0,,Nucleus,1.10.10.60
Q9H009,,"Cytoplasm, Nucleus",other
Q9H091,,"Nucleus, Cytoplasm",other
Q9H094,,Cytoplasm,
Q9H0C3,,Cell membrane,
Q9H0I9,other,,other
Q9H0U9,,other,other
Q9H0V1,,other,
Q9H0X4,,Membrane,
Q9H158,,Cell membrane,other
Q9H175,,Nucleus,
Q9H1A3,2.1.1,other,other
Q9H1C0,,Cell membrane,1.20.1070.10
Q9H1E5,,other,other
Q9H1U4,,Membrane,other
Q9H1Z8,,other,
Q9H1Z9,,Cell membrane,other
Q9H205,,Cell membrane,1.20.1070.10
Q9H207,,Cell membrane,1.20.1070.10
Q9H208,,Cell membrane,1.20.1070.10
Q9H209,,Cell membrane,1.20.1070.10
Q9H210,,Cell membrane,1.20.1070.10
Q9H213,,,other
Q9H2A3,,Nucleus,other
Q9H2T7,,other,other
Q9H2W6,,Mitochondrion,other
Q9H2X8,,other,other
Q9H2Y9,,Cell membrane,other
Q9H320,,,
Q9H330,,Membrane,
Q9H336,,Secreted,other
Q9H339,,Cell membrane,1.20.1070.10
Q9H340,,Cell membrane,1.20.1070.10
Q9H341,,Cell membrane,1.20.1070.10
Q9H342,,Cell membrane,1.20.1070.10
Q9H347,,,other
Q9H3C7,,other,
Q9H3E2,,other,other
Q9H3G5,other,,other
Q9H3M9,3.4.19,Nucleus,other
Q9H3S5,2.4.1,Endoplasmic reticulum membrane,
Q9H426,,other,other
Q9H446,,,other
Q9H4A4,other,Secreted,other
Q9H4B8,,Membrane,other
Q9H4G1,,Secreted,other
Q9H4I8,other,other,other
Q9H4K1,,other,
Q9H501,,other,3.30.70.330
Q9H511,,,other
Q9H5L6,other,,other
Q9H609,,Nucleus,3.30.160.60
Q9H665,,Cell membrane,other
Q9H6A9,,Membrane,
Q9H6D8,,other,2.60.40.10
Q9H6F2,,other,
Q9H6F5,,Nucleus,
Q9H6K4,,Mitochondrion,
Q9H6X4,,other,
Q9H6X5,,,
Q9H756,,Membrane,3.80.10.10
Q9H7C9,,Cytoplasm,other
Q9H7R0,,Nucleus,"6.10.140.140, 3.30.160.60"
Q9H7U1,,other,
Q9H7X7,,other,3.40.50.300
Q9H898,,Nucleus,3.30.160.60
Q9H8H0,,other,
Q9H8J5,,Membrane,
Q9H8S5,,Nucleus,other
Q9H8Y1,,Nucleus,
Q9H920,2.3.2,Endoplasmic reticulum membrane,other
Q9H967,,,2.130.10.10
Q9H9H5,,other,
Q9H9L3,other,other,other
Q9H9Y2,,other,other
Q9HA64,other,,other
Q9HA92,,Mitochondrion,other
Q9HAE3,,other,other
Q9HAT1,,other,other
Q9HAY2,,,other
Q9HB40,other,Secreted,other
Q9HBA9,other,Cytoplasm,other
Q9HBF5,,,
Q9HBJ7,3.4.19,other,other
Q9HBL6,,Membrane,3.80.10.10
Q9HBQ8,,,
Q9HBR0,,Membrane,
Q9HBU9,,other,
Q9HBV1,,Membrane,
Q9HC38,,Mitochondrion,other
Q9HC56,,Cell membrane,other
Q9HCC6,,Nucleus,other
Q9HCG1,,Nucleus,"6.10.140.140, 3.30.160.60"
Q9HCI6,2.3.2,,
Q9HCL0,,Cell membrane,other
Q9HCN2,,Mitochondrion,
Q9HCN8,,other,other
Q9HCT0,,Secreted,other
Q9HD33,,Mitochondrion,other
Q9HD64,,,
Q9HDB9,,Cell membrane,other
Q9N2J8,,other,other
Q9NP08,,Nucleus,1.10.10.60
Q9NP92,,Mitochondrion,
Q9NPA3,,other,other
Q9NPB8,other,other,other
Q9NPH6,,Secreted,other
Q9NQ03,,Nucleus,3.30.160.60
Q9NQ60,,other,
Q9NQA3,,other,
Q9NQE7,other,other,other
Q9NQN1,,Cell membrane,1.20.1070.10
Q9NQS1,,other,
Q9NQT6,,other,other
