identifier,phrog,product,function,product_category
phage_6757,4636,tail spike protein,tail,minor_tail
phage_6758,2456,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover",transferases
phage_6759,4583,transcriptional repressor,transcription regulation,transcription_regulation
phage_6760,1330,tail protein,tail,
phage_6761,23570,virion structural protein,head and packaging,structural
phage_6762,399,structural protein,head and packaging,structural
phage_6763,18345,tail fiber protein,tail,minor_tail
phage_6764,891,terminase small subunit,head and packaging,dna_packaging
phage_6765,606,terminase small subunit,head and packaging,dna_packaging
phage_6766,3465,head closure Hc2,connector,head_assembly
phage_6767,26532,,unknown function,
phage_6768,956,transposase,integration and excision,
phage_6769,8921,,unknown function,
phage_6770,3339,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_6771,349,virion structural protein,head and packaging,structural
phage_6772,4752,tRNA methyltransferase,other,dna_modification
phage_6773,758,head morphogenesis,head and packaging,major_capsid
phage_6774,30284,Rz-like spanin,lysis,lysis
phage_6775,314,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_6776,434,RecE-like recombination exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_6777,155,Erf-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism",
phage_6778,6499,transcriptional regulator,transcription regulation,transcription_regulation
phage_6779,9959,tail length tape measure protein,tail,tail_tape_measure
phage_6780,201,Panton-Valentine leukocicin,"DNA, RNA and nucleotide metabolism",
phage_6781,7173,tail spike protein,tail,minor_tail
phage_6782,2120,tail length tape measure protein,tail,tail_tape_measure
phage_6783,453,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6784,5668,tail fiber protein,tail,minor_tail
phage_6785,502,membrane protein,"moron, auxiliary metabolic gene and host takeover",membrane_proteins
phage_6786,27166,tail length tape measure protein,tail,tail_tape_measure
phage_6787,2524,,unknown function,
phage_6788,664,DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_6789,38233,tail fiber protein,tail,minor_tail
phage_6790,82,head closure Hc1,connector,head_assembly
phage_6791,47,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6792,337,tail protein,tail,
phage_6793,172,head scaffolding protein,head and packaging,head_assembly
phage_6794,959,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_6795,10512,virion structural protein,head and packaging,structural
phage_6796,3041,cytidyltransferase,other,
phage_6797,6790,tail protein,tail,
phage_6798,26758,tail fiber protein,tail,minor_tail
phage_6799,979,terminase large subunit,head and packaging,dna_packaging
phage_6800,12624,,unknown function,
phage_6801,5767,sigma factor,transcription regulation,transcription
phage_6802,1223,nucloid associated Lsr2-like,"DNA, RNA and nucleotide metabolism",
phage_6803,1806,collagen like minor tail,tail,
phage_6804,1218,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_6805,4044,terminase small subunit,head and packaging,dna_packaging
phage_6806,959,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_6807,2597,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6808,5999,DNA methyltransferase,other,dna_modification
phage_6809,582,Arc-like repressor,transcription regulation,transcriptional_control
phage_6810,2854,tail length tape measure protein,tail,tail_tape_measure
phage_6811,6681,terminase large subunit,head and packaging,dna_packaging
phage_6812,23216,,unknown function,
phage_6813,112,Gp2.5-like ssDNA binding protein and ssDNA annealing protein,"DNA, RNA and nucleotide metabolism",
phage_6814,80,head maturation protease,head and packaging,head_assembly
phage_6815,15,terminase large subunit,head and packaging,dna_packaging
phage_6816,21249,tail protein,tail,
phage_6817,4171,RecT-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism",
phage_6818,1128,enoyl-CoA hydratase/carnithine racemase-like,"moron, auxiliary metabolic gene and host takeover",
phage_6819,5702,Holliday junction resolvase,"DNA, RNA and nucleotide metabolism",recombination
phage_6820,6819,Holliday junction branch migration helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6821,18345,tail fiber protein,tail,minor_tail
phage_6822,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover",
phage_6823,23570,virion structural protein,head and packaging,structural
phage_6824,947,DNA polymerase processivity factor,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6825,474,phosphofructokinase,other,
phage_6826,4523,major head and protease protein,head and packaging,major_capsid
phage_6827,2644,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover",transferases
phage_6828,10514,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6829,6025,DNA methyltransferase,other,dna_modification
phage_6830,976,head maturation protease,head and packaging,head_assembly
phage_6831,1218,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_6832,40,head-tail adaptor Ad1,connector,connector
phage_6833,1423,Reverse transcriptase,"DNA, RNA and nucleotide metabolism",
phage_6834,97,UvsX-like recombinase,other,recombination
phage_6835,236,nucleotide kinase,other,
phage_6836,1141,tail fiber protein,tail,minor_tail
phage_6837,351,RNA polymerase sigma factor,transcription regulation,transcription
phage_6838,82,head closure Hc1,connector,head_assembly
phage_6839,29076,tail protein,tail,
phage_6840,151,transposase,integration and excision,
phage_6841,1368,transcriptional regulator,transcription regulation,transcription_regulation
phage_6842,19195,virion structural protein,head and packaging,structural
phage_6843,5857,baseplate wedge subunit,tail,baseplate
phage_6844,11011,long tail fiber protein distal subunit,tail,minor_tail
phage_6845,9959,tail length tape measure protein,tail,tail_tape_measure
phage_6846,21391,DNA helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6847,816,cell division inhibitor,"moron, auxiliary metabolic gene and host takeover",
phage_6848,4636,tail spike protein,tail,minor_tail
phage_6849,367,ribonucleotide reductase,"DNA, RNA and nucleotide metabolism",oxidoreductases
phage_6850,5696,,unknown function,
phage_6851,8,transcriptional regulator,transcription regulation,transcription_regulation
phage_6852,2935,virion structural protein,head and packaging,structural
phage_6853,15825,,unknown function,
phage_6854,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover",
phage_6855,308,internal virion protein,head and packaging,structural
phage_6856,150,baseplate hub,tail,baseplate
phage_6857,145,portal protein,head and packaging,portal
phage_6858,61,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover",
phage_6859,181,endolysin,lysis,lysis
phage_6860,9703,head decoration,head and packaging,minor_capsid
phage_6861,859,portal protein,head and packaging,portal
phage_6862,26426,replication protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6863,1293,tail length tape measure protein,tail,tail_tape_measure
phage_6864,826,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_6865,23013,tail length tape measure protein,tail,tail_tape_measure
phage_6866,6256,tail fiber protein,tail,minor_tail
phage_6867,3918,tail fiber protein,tail,minor_tail
phage_6868,5577,minor tail protein,tail,minor_tail
phage_6869,104,portal protein,head and packaging,portal
phage_6870,196,baseplate hub,tail,baseplate
phage_6871,3575,major tail protein,tail,major_tail
phage_6872,2474,MerR-like transcriptional regulator,transcription regulation,transcription_regulation
phage_6873,3725,tail completion or Neck1 protein,connector,tail_assembly
phage_6874,249,porphyrin biosynthesis,"moron, auxiliary metabolic gene and host takeover",
phage_6875,114,ATP-dependent DNA ligase,"DNA, RNA and nucleotide metabolism",ligases
phage_6876,207,head maturation protease,head and packaging,head_assembly
phage_6877,10581,tail sheath,tail,major_tail
phage_6878,7241,transcriptional regulator,transcription regulation,transcription_regulation
phage_6879,15471,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_6880,14154,virion structural protein,head and packaging,structural
phage_6881,20,holin,lysis,lysis
phage_6882,178,high light inducible protein,other,
phage_6883,2514,DnaD-like helicase loader,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6884,9483,tail length tape measure protein,tail,tail_tape_measure
phage_6885,31,central tail fiber J,tail,
phage_6886,62,DNA helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6887,19425,phosphohydrolase,other,hydrolases
phage_6888,2097,tail fiber protein,tail,minor_tail
phage_6889,229,MazG-like pyrophosphatase,other,hydrolases
phage_6890,2824,virion structural protein,head and packaging,structural
phage_6891,2729,virion structural protein,head and packaging,structural
phage_6892,6386,transcription antiterminator,transcription regulation,
phage_6893,4856,nucleoside triphosphate pyrophosphohydrolase,other,hydrolases
phage_6894,991,tail length tape measure protein,tail,tail_tape_measure
phage_6895,863,tail fiber assembly,tail,
phage_6896,2206,virion RNA polymerase,"DNA, RNA and nucleotide metabolism",transcription
phage_6897,66,excisionase and transcriptional regulator,integration and excision,recombination
phage_6898,4636,tail spike protein,tail,minor_tail
phage_6899,540,nucleotide-sugar epimerase,"DNA, RNA and nucleotide metabolism",
phage_6900,291,endolysin,lysis,lysis
phage_6901,24210,tail fiber protein,tail,minor_tail
phage_6902,11265,tail length tape measure protein,tail,tail_tape_measure
phage_6903,24099,,unknown function,
phage_6904,18673,tail fiber protein,tail,minor_tail
phage_6905,7767,metallo-endopeptidase,other,peptidases
phage_6906,2662,portal protein,head and packaging,portal
phage_6907,226,minor tail protein,tail,minor_tail
phage_6908,1272,tail length tape measure protein,tail,tail_tape_measure
phage_6909,5402,virion structural protein,head and packaging,structural
phage_6910,21,portal protein,head and packaging,portal
phage_6911,4372,tail length tape measure protein,tail,tail_tape_measure
phage_6912,69,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_6913,26290,,unknown function,
phage_6914,2675,DNA methyltransferase,other,dna_modification
phage_6915,72,NinB/ Orf homologous recombination mediator,"DNA, RNA and nucleotide metabolism",
phage_6916,15127,head protein,head and packaging,
phage_6917,2932,head scaffolding protein,head and packaging,head_assembly
phage_6918,21658,methyltransferase,other,dna_modification
phage_6919,2048,tail protein,tail,
phage_6920,582,Arc-like repressor,transcription regulation,transcriptional_control
phage_6921,10922,,unknown function,
phage_6922,339,tail length tape measure protein,tail,tail_tape_measure
phage_6923,16,DNA helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6924,4067,transglycosylase,other,
phage_6925,5342,tail fiber protein,tail,minor_tail
phage_6926,4771,DHH phosphoesterase,other,
phage_6927,415,polynucleotide kinase,other,
phage_6928,1139,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6929,267,major head protein,head and packaging,major_capsid
phage_6930,83,terminase small subunit,head and packaging,dna_packaging
phage_6931,6002,virion structural protein,head and packaging,structural
phage_6932,942,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6933,22,thioredoxin domain,"DNA, RNA and nucleotide metabolism",
phage_6934,21412,tail fiber protein,tail,minor_tail
phage_6935,2675,DNA methyltransferase,other,dna_modification
phage_6936,6977,minor tail protein,tail,minor_tail
phage_6937,1328,major head protein,head and packaging,major_capsid
phage_6938,2685,partition protein ATPase,other,
phage_6939,138,major head protein,head and packaging,major_capsid
phage_6940,177,baseplate hub,tail,baseplate
phage_6941,38417,hyaluronidase,other,
phage_6942,53,head maturation protease,head and packaging,head_assembly
phage_6943,11431,virion structural protein,head and packaging,structural
phage_6944,80,head maturation protease,head and packaging,head_assembly
phage_6945,4478,peptidase,other,peptidases
phage_6946,4913,replication,"DNA, RNA and nucleotide metabolism",
phage_6947,222,tail completion or Neck1 protein,connector,tail_assembly
phage_6948,3779,tail length tape measure protein,tail,tail_tape_measure
phage_6949,2150,terminase,head and packaging,
phage_6950,971,endolysin,lysis,lysis
phage_6951,237,head scaffolding protein,head and packaging,head_assembly
phage_6952,515,PetE plastocyanine,other,
phage_6953,12,portal protein,head and packaging,portal
phage_6954,291,endolysin,lysis,lysis
phage_6955,25826,,unknown function,
phage_6956,1907,DNA polymerase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6957,21412,tail fiber protein,tail,minor_tail
phage_6958,62,DNA helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6959,392,metal-dependent hydrolase,other,hydrolases
phage_6960,812,Rz-like spanin,lysis,lysis
phage_6961,523,tail collar fiber protein,tail,
phage_6962,1407,major tail protein,tail,major_tail
phage_6963,29631,,unknown function,
phage_6964,705,,unknown function,
phage_6965,17675,,unknown function,
phage_6966,14484,virion structural protein,head and packaging,structural
phage_6967,72,NinB/ Orf homologous recombination mediator,"DNA, RNA and nucleotide metabolism",
phage_6968,69,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_6969,2534,released from the phage upon host infection,other,
phage_6970,1107,tail length tape measure protein,tail,tail_tape_measure
phage_6971,2361,serine-threonine kinase,other,
phage_6972,237,head scaffolding protein,head and packaging,head_assembly
phage_6973,2,terminase large subunit,head and packaging,dna_packaging
phage_6974,5863,minor head protein,head and packaging,minor_capsid
phage_6975,59,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_6976,6,baseplate wedge subunit,tail,baseplate
phage_6977,254,late promoter transcriptional regulator,transcription regulation,transcription_regulation
phage_6978,5,tail completion or Neck1 protein,connector,tail_assembly
phage_6979,22681,DNA polymerase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_6980,6782,tail fiber protein,tail,minor_tail
phage_6981,7,endolysin,lysis,lysis
phage_6982,3287,virion structural protein,head and packaging,structural
phage_6983,137,head-tail adaptor Ad1,connector,connector
phage_6984,40,head-tail adaptor Ad1,connector,connector
phage_6985,990,metal-dependent phosphohydrolase,other,hydrolases
phage_6986,3639,minor tail protein,tail,minor_tail
phage_6987,21776,transglycosylase,other,
phage_6988,8469,tail fiber protein,tail,minor_tail
phage_6989,761,thymidylate kinase,other,
phage_6990,3180,Arc-like repressor,transcription regulation,transcriptional_control
phage_6991,101,CII-like transcriptional activator,transcription regulation,transcription_regulation
phage_6992,28766,tail fiber protein,tail,minor_tail
phage_6993,15696,virion structural protein,head and packaging,structural
phage_6994,115,minor head protein,head and packaging,minor_capsid
phage_6995,9851,tail fiber protein,tail,minor_tail
phage_6996,31,central tail fiber J,tail,
phage_6997,12032,short tail fiber protein,tail,minor_tail
phage_6998,1689,nucleotide kinase,other,
phage_6999,16465,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_7000,1802,radical SAM domain-containing protein,other,
phage_7001,541,head-tail adaptor,connector,connector
phage_7002,1506,tail length tape measure protein,tail,tail_tape_measure
phage_7003,14917,tail length tape measure protein,tail,tail_tape_measure
phage_7004,2234,tail spike protein,tail,minor_tail
phage_7005,261,baseplate wedge subunit,tail,baseplate
phage_7006,9703,head decoration,head and packaging,minor_capsid
phage_7007,312,Rz-like spanin,lysis,lysis
phage_7008,514,major head protein,head and packaging,major_capsid
phage_7009,5308,holin,lysis,lysis
phage_7010,531,Rnase H,"DNA, RNA and nucleotide metabolism",
phage_7011,16991,tail sheath,tail,major_tail
phage_7012,8510,virion structural protein,head and packaging,structural
phage_7013,18345,tail fiber protein,tail,minor_tail
phage_7014,2474,MerR-like transcriptional regulator,transcription regulation,transcription_regulation
phage_7015,1356,holin,lysis,lysis
phage_7016,1373,transcriptional regulator,transcription regulation,transcription_regulation
phage_7017,9474,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_7018,51,terminase small subunit,head and packaging,dna_packaging
phage_7019,6902,terminase small subunit,head and packaging,dna_packaging
phage_7020,1052,head assembly,head and packaging,head_assembly
phage_7021,3430,virion structural protein,head and packaging,structural
phage_7022,6121,virion structural protein,head and packaging,structural
phage_7023,5668,tail fiber protein,tail,minor_tail
phage_7024,5668,tail fiber protein,tail,minor_tail
phage_7025,23,tail sheath,tail,major_tail
phage_7026,843,Holliday junction resolvase,"DNA, RNA and nucleotide metabolism",recombination
phage_7027,1320,host range and adsorption protein,"moron, auxiliary metabolic gene and host takeover",host_takeover
phage_7028,65,tail terminator,connector,tail_assembly
phage_7029,351,RNA polymerase sigma factor,transcription regulation,transcription
phage_7030,10030,tail length tape measure protein,tail,tail_tape_measure
phage_7031,83,terminase small subunit,head and packaging,dna_packaging
phage_7032,517,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_7033,8510,virion structural protein,head and packaging,structural
phage_7034,22502,methyltransferase,other,dna_modification
phage_7035,2514,DnaD-like helicase loader,"DNA, RNA and nucleotide metabolism",dna_replication
phage_7036,8280,tail spike protein with colonic acid degradation activity,tail,minor_tail
phage_7037,620,ParB-like partition protein,"DNA, RNA and nucleotide metabolism",
phage_7038,460,head closure Hc2,connector,head_assembly
phage_7039,28102,,unknown function,
phage_7040,21789,virion structural protein,head and packaging,structural
phage_7041,6088,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_7042,325,Dda-like helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_7043,15881,tail protein,tail,
phage_7044,5330,tail assembly chaperone,tail,tail_assembly
phage_7045,4336,tail assembly chaperone,tail,tail_assembly
phage_7046,12,portal protein,head and packaging,portal
phage_7047,2214,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_7048,9959,tail length tape measure protein,tail,tail_tape_measure
phage_7049,18911,virion structural protein,head and packaging,structural
phage_7050,416,minor tail protein,tail,minor_tail
phage_7051,166,tail protein,tail,
phage_7052,80,head maturation protease,head and packaging,head_assembly
phage_7053,26428,,unknown function,
phage_7054,16653,hydrolase,other,hydrolases
phage_7055,1640,tail protein,tail,
phage_7056,3336,tail length tape measure protein,tail,tail_tape_measure
phage_7057,25337,tail length tape measure protein,tail,tail_tape_measure
phage_7058,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover",
phage_7059,1068,tail length tape measure protein,tail,tail_tape_measure
phage_7060,6958,virion structural protein,head and packaging,structural
phage_7061,107,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_7062,19333,,unknown function,
phage_7063,13893,tail protein,tail,
phage_7064,18891,tail length tape measure protein,tail,tail_tape_measure
phage_7065,755,RNA ligase,"DNA, RNA and nucleotide metabolism",ligases
phage_7066,1423,Reverse transcriptase,"DNA, RNA and nucleotide metabolism",
phage_7067,7767,metallo-endopeptidase,other,peptidases
phage_7068,18771,,unknown function,
phage_7069,290,minor tail protein,tail,minor_tail
phage_7070,1133,,unknown function,
phage_7071,5491,,unknown function,
phage_7072,6616,tail protein,tail,
phage_7073,37825,,unknown function,
phage_7074,114,ATP-dependent DNA ligase,"DNA, RNA and nucleotide metabolism",ligases
phage_7075,236,nucleotide kinase,other,
phage_7076,4287,DNA ejection protein,"DNA, RNA and nucleotide metabolism",
phage_7077,1204,tail protein,tail,
phage_7078,18345,tail fiber protein,tail,minor_tail
phage_7079,430,baseplate hub subunit and tail lysozyme,tail,baseplate
phage_7080,17972,,unknown function,
phage_7081,1,integrase,integration and excision,recombination
phage_7082,21722,long tail fiber protein distal subunit,tail,minor_tail
phage_7083,1492,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_7084,36,transcriptional regulator,transcription regulation,transcription_regulation
phage_7085,13407,,unknown function,
phage_7086,5402,virion structural protein,head and packaging,structural
phage_7087,6547,portal protein,head and packaging,portal
phage_7088,2154,,unknown function,
phage_7089,2206,virion RNA polymerase,"DNA, RNA and nucleotide metabolism",transcription
phage_7090,1216,portal protein,head and packaging,portal
phage_7091,47,DNA primase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_7092,739,Rz-like spanin,lysis,lysis
phage_7093,4636,tail spike protein,tail,minor_tail
phage_7094,1328,major head protein,head and packaging,major_capsid
phage_7095,30599,transcriptional regulator,transcription regulation,transcription_regulation
phage_7096,2606,terminase small subunit,head and packaging,dna_packaging
phage_7097,15649,endolysin,lysis,lysis
phage_7098,655,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_7099,4523,major head and protease protein,head and packaging,major_capsid
phage_7100,8468,HAD-superfamily hydrolase,other,hydrolases
phage_7101,16016,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_7102,4856,nucleoside triphosphate pyrophosphohydrolase,other,hydrolases
phage_7103,1293,tail length tape measure protein,tail,tail_tape_measure
phage_7104,19458,primase,"DNA, RNA and nucleotide metabolism",
phage_7105,1068,tail length tape measure protein,tail,tail_tape_measure
phage_7106,6461,,unknown function,
phage_7107,1206,terminase small subunit,head and packaging,dna_packaging
phage_7108,33875,,unknown function,
phage_7109,309,terminase small subunit,head and packaging,dna_packaging
phage_7110,20210,,unknown function,
phage_7111,18345,tail fiber protein,tail,minor_tail
phage_7112,104,portal protein,head and packaging,portal
phage_7113,298,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_7114,9238,,unknown function,
phage_7115,217,holin,lysis,lysis
phage_7116,991,tail length tape measure protein,tail,tail_tape_measure
phage_7117,20270,,unknown function,
phage_7118,876,transcriptional repressor,transcription regulation,transcription_regulation
phage_7119,19008,,unknown function,
phage_7120,6102,lipase,"moron, auxiliary metabolic gene and host takeover",
phage_7121,5240,tail fiber protein,tail,minor_tail
phage_7122,148,RecT-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism",
phage_7123,139,deoxynucleoside monophosphate kinase,other,
phage_7124,9001,tail assembly chaperone,tail,tail_assembly
phage_7125,2163,virion structural protein,head and packaging,structural
phage_7126,9834,excisionase and transcriptional regulator,integration and excision,recombination
phage_7127,2520,gamma-glutamyl cyclotransferase,"moron, auxiliary metabolic gene and host takeover",
phage_7128,518,Rha-like transcriptional regulator,transcription regulation,transcription_regulation
phage_7129,931,head morphogenesis,head and packaging,major_capsid
phage_7130,305,tail length tape measure protein,tail,tail_tape_measure
phage_7131,4704,tail length tape measure protein,tail,tail_tape_measure
phage_7132,30509,collagen like minor tail,tail,
phage_7133,314,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_7134,460,head closure Hc2,connector,head_assembly
phage_7135,16335,ATPase,other,
phage_7136,81,2OG-Fe(II) oxygenase,"moron, auxiliary metabolic gene and host takeover",
phage_7137,17566,,unknown function,
phage_7138,9298,radical SAM domain protein,other,
phage_7139,11011,long tail fiber protein distal subunit,tail,minor_tail
phage_7140,30509,collagen like minor tail,tail,
phage_7141,4779,transcriptional regulator,transcription regulation,transcription_regulation
phage_7142,220,minor head protein and DNA pilot,head and packaging,minor_capsid
phage_7143,474,phosphofructokinase,other,
phage_7144,1330,tail protein,tail,
phage_7145,3198,Rz-like spanin,lysis,lysis
phage_7146,697,structural protein,head and packaging,structural
phage_7147,3927,head scaffolding protein,head and packaging,head_assembly
phage_7148,2361,serine-threonine kinase,other,
phage_7149,16465,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_7150,612,RIIA lysis inhibitor,lysis,
phage_7151,4211,tail length tape measure protein,tail,tail_tape_measure
phage_7152,89,Rz-like spanin,lysis,lysis
phage_7153,102,endolysin,lysis,lysis
phage_7154,10089,DarB-like antirestriction,"moron, auxiliary metabolic gene and host takeover",
phage_7155,3519,tail length tape measure protein,tail,tail_tape_measure
phage_7156,31660,tail fiber protein,tail,minor_tail
phage_7157,132,head-tail adaptor,connector,connector
phage_7158,18345,tail fiber protein,tail,minor_tail
phage_7159,1076,FmdB-like transcriptional regulator,transcription regulation,transcription_regulation
phage_7160,22205,,unknown function,
phage_7161,10356,virion structural protein,head and packaging,structural
phage_7162,3724,,unknown function,
phage_7163,394,tail protein,tail,
phage_7164,598,DNA ejection,"DNA, RNA and nucleotide metabolism",
phage_7165,8821,Rz-like spanin,lysis,lysis
phage_7166,6608,methyltransferase,other,dna_modification
phage_7167,325,Dda-like helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_7168,9133,,unknown function,
phage_7169,229,MazG-like pyrophosphatase,other,hydrolases
phage_7170,6416,tail protein,tail,
phage_7171,69,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_7172,683,,unknown function,
phage_7173,5997,terminase small subunit,head and packaging,dna_packaging
phage_7174,16823,tail length tape measure protein,tail,tail_tape_measure
phage_7175,10954,,unknown function,
phage_7176,27063,pilot protein for DNA ejection,tail,
phage_7177,17885,tail fiber protein,tail,minor_tail
phage_7178,328,head maturation protease,head and packaging,head_assembly
phage_7179,474,phosphofructokinase,other,
phage_7180,799,DNA methyltransferase,other,dna_modification
phage_7181,1740,RNA polymerase sigma factor,transcription regulation,transcription
phage_7182,799,DNA methyltransferase,other,dna_modification
phage_7183,231,UvsY-like recombination mediator,"DNA, RNA and nucleotide metabolism",
phage_7184,947,DNA polymerase processivity factor,"DNA, RNA and nucleotide metabolism",dna_replication
phage_7185,25337,tail length tape measure protein,tail,tail_tape_measure
phage_7186,14892,head closure,connector,head_assembly
phage_7187,8159,,unknown function,
phage_7188,445,terminase small subunit,head and packaging,dna_packaging
phage_7189,5033,endolysin; inhibits RNA polymerase,lysis,transcription
phage_7190,146,portal protein,head and packaging,portal
phage_7191,2060,DNA methyltransferase,other,dna_modification
phage_7192,342,internal virion protein with endolysin domain,head and packaging,lysis
phage_7193,8693,pilot protein for DNA ejection,tail,
phage_7194,38,terminase large subunit,head and packaging,dna_packaging
phage_7195,3513,endolysin,lysis,lysis
phage_7196,7,endolysin,lysis,lysis
phage_7197,28748,virion structural protein,head and packaging,structural
phage_7198,30509,collagen like minor tail,tail,
phage_7199,16877,minor tail protein,tail,minor_tail
phage_7200,2557,virion structural protein,head and packaging,structural
phage_7201,655,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_7202,31,central tail fiber J,tail,
phage_7203,107,exonuclease,"DNA, RNA and nucleotide metabolism",exonucleases
phage_7204,4494,,unknown function,
phage_7205,540,nucleotide-sugar epimerase,"DNA, RNA and nucleotide metabolism",
phage_7206,1064,prohead,head and packaging,head_assembly
phage_7207,2340,endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_7208,5846,clamp loader of DNA polymerase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_7209,118,head-tail adaptor,connector,connector
phage_7210,8245,HicB-like antitoxin,"moron, auxiliary metabolic gene and host takeover",toxin_systems
phage_7211,498,DNA methyltransferase,other,dna_modification
phage_7212,2335,tail length tape measure protein,tail,tail_tape_measure
phage_7213,400,tail protein,tail,
phage_7214,498,DNA methyltransferase,other,dna_modification
phage_7215,947,DNA polymerase processivity factor,"DNA, RNA and nucleotide metabolism",dna_replication
phage_7216,66,excisionase and transcriptional regulator,integration and excision,recombination
phage_7217,1891,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_7218,7843,,unknown function,
phage_7219,15471,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_7220,518,Rha-like transcriptional regulator,transcription regulation,transcription_regulation
phage_7221,6831,transcriptional regulator,transcription regulation,transcription_regulation
phage_7222,10780,tail length tape measure protein,tail,tail_tape_measure
phage_7223,347,tail terminator,connector,tail_assembly
phage_7224,216,integrase,integration and excision,recombination
phage_7225,2835,glucosyltransferase,"moron, auxiliary metabolic gene and host takeover",
phage_7226,1,integrase,integration and excision,recombination
phage_7227,116,DNA methyltransferase,other,dna_modification
phage_7228,1242,minor head protein,head and packaging,minor_capsid
phage_7229,21712,major head protein,head and packaging,major_capsid
phage_7230,4704,tail length tape measure protein,tail,tail_tape_measure
phage_7231,19,DnaB-like replicative helicase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_7232,3895,ADP-ribosyltransferase exoenzyme toxin,"moron, auxiliary metabolic gene and host takeover",toxin_systems
phage_7233,36,transcriptional regulator,transcription regulation,transcription_regulation
phage_7234,9151,HicB-like antitoxin,"moron, auxiliary metabolic gene and host takeover",toxin_systems
phage_7235,2466,Rz-like spanin,lysis,lysis
phage_7236,177,baseplate hub,tail,baseplate
phage_7237,740,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_7238,603,transcriptional regulator,transcription regulation,transcription_regulation
phage_7239,1356,holin,lysis,lysis
phage_7240,37,tail terminator,connector,tail_assembly
phage_7241,4771,DHH phosphoesterase,other,
phage_7242,9648,tail protein,tail,
