identifier,Order,Family,Genus,protein_category,Protein families
P0DPT3,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family"
P0DJH8,Scorpiones,Buthidae,Buthacus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
M1JBC0,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P0DMM8,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
C0HLF4,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P82814,Scorpiones,Buthidae,Hottentotta,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P82813,Scorpiones,Buthidae,Hottentotta,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P82812,Scorpiones,Buthidae,Hottentotta,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P82811,Scorpiones,Buthidae,Hottentotta,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P01483,Scorpiones,Buthidae,Buthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P01486,Scorpiones,Buthidae,Buthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P01481,Scorpiones,Buthidae,Leiurus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P0DQH5,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
O61705,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P01484,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
C9X4J9,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P13488,Scorpiones,Buthidae,Buthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P0DX56,Scorpiones,Buthidae,Buthacus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P15223,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P21150,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family"
P0DRB1,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P56612,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
E7D082,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P45667,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P24336,Scorpiones,Buthidae,Hottentotta,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P04099,Scorpiones,Buthidae,Buthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P15224,Scorpiones,Buthidae,Orthochirus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P19856,Scorpiones,Buthidae,Leiurus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
E7CLP4,Scorpiones,Buthidae,Rhopalurus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P15226,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family"
O61668,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0DUH8,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0DUI0,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
O76963,Scorpiones,Buthidae,Orthochirus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P84614,Scorpiones,Buthidae,Hottentotta,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P45666,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0CI44,Scorpiones,Buthidae,Lychas,scorpion_long_toxin,Long (3 C-C) scorpion toxin superfamily
H1ZZI5,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P59863,Scorpiones,Buthidae,Buthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P59864,Scorpiones,Buthidae,Buthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P80076,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P59897,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P59898,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0C5H1,Scorpiones,Buthidae,Isometrus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
B7FDP2,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0C1B7,Scorpiones,Buthidae,Parabuthus,scorpion_long_toxin,"Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0C5F1,Scorpiones,Buthidae,Parabuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P0C5F0,Scorpiones,Buthidae,Parabuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
D9U2A4,Scorpiones,Buthidae,Lychas,scorpion_long_toxin,Long (3 C-C) scorpion toxin superfamily
P63019,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
H1ZZH7,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
H1ZZH8,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
H1ZZH9,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
H1ZZI0,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
C9X4K3,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P01487,Scorpiones,Buthidae,Leiurus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P01488,Scorpiones,Buthidae,Buthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P09982,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P0C1B5,Scorpiones,Buthidae,Parabuthus,scorpion_long_toxin,"Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0C1B6,Scorpiones,Buthidae,Parabuthus,scorpion_long_toxin,"Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0C1B8,Scorpiones,Buthidae,Parabuthus,scorpion_long_toxin,"Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0C292,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (3 C-C) scorpion toxin superfamily, Sodium/Potassium channel inhibitor family"
P0C293,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (3 C-C) scorpion toxin superfamily, Sodium/Potassium channel inhibitor family"
P0C294,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (3 C-C) scorpion toxin superfamily, Sodium/Potassium channel inhibitor family"
Q4LCT1,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,Long (3 C-C) scorpion toxin superfamily
P60267,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0CH40,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P45698,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P59899,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0CF39,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P58752,Scorpiones,Buthidae,Parabuthus,scorpion_long_toxin,"Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P56569,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P0DQN8,Scorpiones,Buthidae,Hottentotta,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
C0HJM9,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
D9U299,Scorpiones,Buthidae,Lychas,scorpion_long_toxin,Long (3 C-C) scorpion toxin superfamily
P0CI59,Scorpiones,Buthidae,Lychas,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
D9U2A0,Scorpiones,Buthidae,Lychas,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P0C295,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0C297,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
Q95WD2,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0C298,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (3 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0CI82,Scorpiones,Buthidae,Lychas,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0CI81,Scorpiones,Buthidae,Lychas,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0DUH9,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P09981,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P0DQN9,Scorpiones,Buthidae,Hottentotta,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
H1ZZI3,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family"
P58488,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P58296,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family"
P56646,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P56611,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P46115,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P59854,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
H1ZZI1,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0C5H2,Scorpiones,Buthidae,Isometrus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0C5K8,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P0C8X5,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P0C910,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P0CF37,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0DJK9,Scorpiones,Buthidae,Isometrus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
Q9BLM1,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,Long (3 C-C) scorpion toxin superfamily
P58779,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family"
P56608,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
Q9GUA7,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
Q2NME3,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0DRB0,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
C0HLF8,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
A0A7S8MU55,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P60212,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family"
A0A218QX08,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,Long (3 C-C) scorpion toxin superfamily
P60214,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P60266,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
E7CLP5,Scorpiones,Buthidae,Rhopalurus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
E7CLP2,Scorpiones,Buthidae,Rhopalurus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
D9U2A1,Scorpiones,Buthidae,Lychas,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P55904,Scorpiones,Buthidae,Buthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
C0HLR4,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P59354,Scorpiones,Buthidae,Buthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
C0HLR5,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P58910,Scorpiones,Buthidae,Parabuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P0C1X7,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P56743,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
C0HLG5,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P84693,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P60213,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P01480,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P0DSO5,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P01497,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0DSO4,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P0DRC7,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family"
Q8T3T0,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P18926,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
C0HM71,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P15228,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
A0A7S8MVN3,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,Long (4 C-C) scorpion toxin superfamily
P56637,Scorpiones,Buthidae,Hottentotta,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
Q9UAC8,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family"
P45697,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
B7SNV8,Scorpiones,Buthidae,Parabuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
C0HLF2,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P86406,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family"
Q95WX6,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P84810,Scorpiones,Buthidae,Buthus,scorpion_long_toxin,Long (3 C-C) scorpion toxin superfamily
P68410,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
O77091,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
Q68PG4,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
Q9UAC9,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family"
Q9XY87,Scorpiones,Buthidae,Mesobuthus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
C9X4K0,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
C0HM43,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0DQH6,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P0DRC6,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family"
A0A7S8RFY1,Scorpiones,Buthidae,Tityus,,
P80962,Scorpiones,Buthidae,Buthacus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P01496,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P19855,Scorpiones,Buthidae,Leiurus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P01489,Scorpiones,Buthidae,Leiurus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
C9X4K6,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
D5HR51,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
D5HR53,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Alpha subfamily"
P68411,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
Q4LCS7,Scorpiones,Buthidae,Androctonus,scorpion_long_toxin,Long (3 C-C) scorpion toxin superfamily
P60275,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P60215,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P0DJK8,Scorpiones,Buthidae,Isometrus,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P01493,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P08900,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
C0HLF3,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P01491,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P01492,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
P01494,Scorpiones,Buthidae,Centruroides,scorpion_long_toxin,"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family, Beta subfamily"
Q86QU9,Scorpiones,Buthidae,Centruroides,scorpion_ktx,"Ergtoxin family, Gamma-KTx 4 subfamily"
Q86QU5,Scorpiones,Buthidae,Centruroides,scorpion_ktx,"Ergtoxin family, Gamma-KTx 3 subfamily"
Q86QV8,Scorpiones,Buthidae,Centruroides,scorpion_ktx,"Ergtoxin family, Gamma-KTx 4 subfamily"
Q86QV0,Scorpiones,Buthidae,Centruroides,scorpion_ktx,"Ergtoxin family, Gamma-KTx 1 subfamily"
Q86QT8,Scorpiones,Buthidae,Centruroides,scorpion_ktx,"Ergtoxin family, Gamma-KTx 4 subfamily"
Q86QV7,Scorpiones,Buthidae,Centruroides,scorpion_ktx,"Ergtoxin family, Gamma-KTx 4 subfamily"
Q86QV4,Scorpiones,Buthidae,Centruroides,scorpion_ktx,"Ergtoxin family, Gamma-KTx 4 subfamily"
Q86QV2,Scorpiones,Buthidae,Centruroides,scorpion_ktx,"Ergtoxin family, Gamma-KTx 3 subfamily"
P59940,Scorpiones,Buthidae,Centruroides,scorpion_ktx,"Ergtoxin family, Gamma-KTx 4 subfamily"
Q86QU1,Scorpiones,Buthidae,Centruroides,scorpion_ktx,"Ergtoxin family, Gamma-KTx 1 subfamily"
