identifier,Order,Family,Genus,Protein families,Protein names,embeddings_labels,blast_labels
B6DCZ7,Araneae,Lycosidae,Lycosa,"Neurotoxin 19 (CSTX) family, 08 (U8-Lctx) subfamily",U8-lycotoxin-Ls1p (Toxin-like structure LSTX-H26),15,28
B6DCX9,Araneae,Lycosidae,Lycosa,"Neurotoxin 19 (CSTX) family, 08 (U8-Lctx) subfamily",U8-lycotoxin-Ls1s (Toxin-like structure LSTX-H8),15,28
B6DCW9,Araneae,Lycosidae,Lycosa,"Neurotoxin 19 (CSTX) family, 07 (U7-Lctx) subfamily",U7-lycotoxin-Ls1c (Toxin-like structure LSTX-G9),15,28
B6DCZ0,Araneae,Lycosidae,Lycosa,"Neurotoxin 19 (CSTX) family, 08 (U8-Lctx) subfamily",U8-lycotoxin-Ls1j (Toxin-like structure LSTX-H19),15,28
B6DCY0,Araneae,Lycosidae,Lycosa,"Neurotoxin 19 (CSTX) family, 08 (U8-Lctx) subfamily",U8-lycotoxin-Ls1w (Toxin-like structure LSTX-H9),15,28
B6DCW8,Araneae,Lycosidae,Lycosa,"Neurotoxin 19 (CSTX) family, 07 (U7-Lctx) subfamily",U7-lycotoxin-Ls1h (Toxin-like structure LSTX-G8),15,28
B6DCY2,Araneae,Lycosidae,Lycosa,"Neurotoxin 19 (CSTX) family, 08 (U8-Lctx) subfamily",U8-lycotoxin-Ls1b (Toxin-like structure LSTX-H11),15,28
B6DD06,Araneae,Lycosidae,Lycosa,"Neurotoxin 19 (CSTX) family, 09 (U10-Lctx) subfamily",U10-lycotoxin-Ls1d (Toxin-like structure LSTX-J4),15,28
B6DCY4,Araneae,Lycosidae,Lycosa,"Neurotoxin 19 (CSTX) family, 08 (U8-Lctx) subfamily",U8-lycotoxin-Ls1d (Toxin-like structure LSTX-H13),15,28
B6DCW0,Araneae,Lycosidae,Lycosa,"Neurotoxin 19 (CSTX) family, 06 (U6-Lctx) subfamily",U6-lycotoxin-Ls1b (Toxin-like structure LSTX-F10),15,28
D2Y213,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1aa (U4-TRTX-Hhn1aa) (Hainantoxin-II-2) (HNTX-II-2),16,19
D2Y2K9,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.22) (HNTX-II.22) (Peptide F8-20.15),16,19
D2Y230,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.12) (HNTX-II.12) (Peptide F8-20.15),16,19
D2Y228,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.10) (HNTX-II.10) (Peptide F8-20.15),16,19
D2Y212,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.9) (HNTX-II.9) (Peptide F8-20.15),16,19
P0DL77,Araneae,Theraphosidae,Coremiocnemis,"Neurotoxin 12 (Hwtx-2) family, 03 (juruin) subfamily",U1-theraphotoxin-Ct1a (U1-TRTX-Ct1a),16,19
D2Y205,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.2) (HNTX-II.2) (Peptide F8-20.15),16,19
D2Y207,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.4) (HNTX-II.4) (Peptide F8-20.15),16,19
D2Y2J3,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1l (U4-TRTX-Hhn1l) (Hainantoxin-II-20) (HNTX-II-20),16,19
B1P1A6,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 12 (Hwtx-2) family, 03 (juruin) subfamily",U3-theraphotoxin-Cg1a (U3-TRTX-Cg1a) (Jingzhaotoxin-8) (JZTX-8) (Jingzhaotoxin-VIII) (JZTX-VIII) (Peptide F7-12.17),16,19
D2Y211,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.7) (HNTX-II.7) (Peptide F8-20.15),16,19
D2Y2K1,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1r (U4-TRTX-Hhn1r) (Hainantoxin-II-26) (HNTX-II-26),16,19
D2Y2K7,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.20) (HNTX-II.20) (Peptide F8-20.15),16,19
D2Y209,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.6) (HNTX-II.6) (Peptide F8-20.15),16,19
D2Y2J6,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1o (U4-TRTX-Hhn1o) (Hainantoxin-II-23) (HNTX-II-23),16,19
D2Y2J9,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1p (U4-TRTX-Hhn1p) (Hainantoxin-II-24) (HNTX-II-24),16,19
D2Y2L2,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.24) (HNTX-II.24) (Peptide F8-20.15),16,19
B1P1A5,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 12 (Hwtx-2) family, 03 (juruin) subfamily",U3-theraphotoxin-Cg1a (U3-TRTX-Cg1a) (Jingzhaotoxin-8.2) (JZTX-8.2) (Jingzhaotoxin-VIII.2) (JZTX-VIII.2) (Peptide F7-12.17),16,19
B1P1A8,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 12 (Hwtx-2) family, 03 (juruin) subfamily",U3-theraphotoxin-Cg1b (U3-TRTX-Cg1b) (Jingzhaotoxin-47.2) (JZTX-47.2) (Peptide F6-10.40),16,19
P68421,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U1-theraphotoxin-Hs1a (U1-TRTX-Hs1a) (Huwentoxin-7) (Huwentoxin-VII) (HwTx-VII),16,19
B1P1A9,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 12 (Hwtx-2) family, 03 (juruin) subfamily",U3-theraphotoxin-Cg1c (U3-TRTX-Cg1c) (Jingzhaotoxin-48) (JZTX-48),16,19
B1P1A7,Araneae,Theraphosidae,Chilobrachys,"Neurotoxin 12 (Hwtx-2) family, 03 (juruin) subfamily",U3-theraphotoxin-Cg1b (U3-TRTX-Cg1b) (Jingzhaotoxin-47) (JZTX-47) (Peptide F6-10.40),16,19
D2Y206,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.15) (HNTX-II.15) (Peptide F8-20.15),16,19
D2Y2J8,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1c (U4-TRTX-Hhn1c) (Hainantoxin-II-7.2) (HNTX-II-7.2),16,19
D2Y2K0,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1q (U4-TRTX-Hhn1q) (Hainantoxin-II-25) (HNTX-II-25),16,19
D2Y2J4,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1m (U4-TRTX-Hhn1m) (Hainantoxin-II-21) (HNTX-II-21),16,19
D2Y2D4,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1i (U4-TRTX-Hhn1i) (Hainantoxin-II-17) (HNTX-II-17),16,19
D2Y224,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1e (U4-TRTX-Hhn1e) (Hainantoxin-II-13) (HNTX-II-13),16,19
D2Y2L3,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.25) (HNTX-II.25) (Peptide F8-20.15),16,19
D2Y2D5,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.13) (HNTX-II.13) (Peptide F8-20.15),16,19
D2Y2I9,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.16) (HNTX-II.16) (Peptide F8-20.15),16,19
D2Y210,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.17) (HNTX-II.17) (Peptide F8-20.15),16,19
D2Y2K8,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.21) (HNTX-II.21) (Peptide F8-20.15),16,19
Q86C49,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U1-theraphotoxin-Hs1f (U1-TRTX-Hs1f) (Huwentoxin-2a) (Huwentoxin-IIa),16,19
D2Y2L0,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.23) (HNTX-II.23) (Peptide F8-20.15),16,19
D2Y220,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1ad (U4-TRTX-Hhn1ad) (Hainantoxin-II-9) (HNTX-II-9),16,19
D2Y204,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II) (HNTX-II) (Peptide F8-20.15),16,19
P82959,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U1-theraphotoxin-Hs1a (U1-TRTX-Hs1a) (Huwentoxin-2 form 1) (Huwentoxin-II) (HwTx-II),16,19
D2Y208,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.5) (HNTX-II.5) (Peptide F8-20.15),16,19
D2Y2J5,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1n (U4-TRTX-Hhn1n) (Hainantoxin-II-22) (HNTX-II-22),16,19
D2Y2K6,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.19) (HNTX-II.19) (Peptide F8-20.15),16,19
D2Y2K5,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.18) (HNTX-II.18) (Peptide F8-20.15),16,19
D2Y2K3,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1t (U4-TRTX-Hhn1t) (Hainantoxin-II-28) (HNTX-II-28),16,19
D2Y219,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1ac (U4-TRTX-Hhn1ac) (Hainantoxin-II-8) (HNTX-II-8),16,19
D2Y231,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1b (U4-TRTX-Hhn1b) (Hainantoxin-II-10.2) (HNTX-II-10.2),16,19
D2Y225,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1f (U4-TRTX-Hhn1f) (Hainantoxin-II-14) (HNTX-II-14),16,19
D2Y226,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1g (U4-TRTX-Hhn1g) (Hainantoxin-II-15) (HNTX-II-15),16,19
D2Y227,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1h (U4-TRTX-Hhn1h) (Hainantoxin-II-16) (HNTX-II-16),16,19
D2Y2K4,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1u (U4-TRTX-Hhn1u) (Hainantoxin-II-29) (HNTX-II-29),16,19
D2Y2D6,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.14) (HNTX-II.14) (Peptide F8-20.15),16,19
D2Y218,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1c (U4-TRTX-Hhn1c) (Hainantoxin-II-7) (HNTX-II-7),16,19
D2Y2K2,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1s (U4-TRTX-Hhn1s) (Hainantoxin-II-27) (HNTX-II-27),16,19
D2Y215,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1x (U4-TRTX-Hhn1x) (Hainantoxin-II-4) (HNTX-II-4),16,19
D2Y217,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1z (U4-TRTX-Hhn1z) (Hainantoxin-II-6) (HNTX-II-6),16,19
D2Y216,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1ab (U4-TRTX-Hhn1ab) (Hainantoxin-II-5) (HNTX-II-5),16,19
D2Y2J2,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1k (U4-TRTX-Hhn1k) (Hainantoxin-II-19) (HNTX-II-19),16,19
D2Y229,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1a (U4-TRTX-Hhn1a) (Hainantoxin-II.11) (HNTX-II.11) (Peptide F8-20.15),16,19
D2Y2J1,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1j (U4-TRTX-Hhn1j) (Hainantoxin-II-18) (HNTX-II-18),16,19
D2Y222,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1y (U4-TRTX-Hhn1y) (Hainantoxin-II-11) (HNTX-II-11),16,19
D2Y223,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1d (U4-TRTX-Hhn1d) (Hainantoxin-II-12) (HNTX-II-12),16,19
D2Y214,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1w (U4-TRTX-Hhn1w) (Hainantoxin-II-3) (HNTX-II-3),16,19
D2Y221,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 12 (Hwtx-2) family, 02 (Hwtx-2) subfamily",U4-theraphotoxin-Hhn1b (U4-TRTX-Hhn1b) (Hainantoxin-II-10) (HNTX-II-10),16,19
D2Y278,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1h (U11-TRTX-Hhn1h) (Hainantoxin-XVI-8) (HNTX-XVI-8),17,25
P0DUC0,,,,"Neurotoxin 14 (magi-1) family, 08 (Ltx-4) subfamily",U1-theraphotoxin-Tal1a (U1-TRTX-Tal1a) (Brachyin),17,25
D2Y263,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1a (U11-TRTX-Hhn1a) (Hainantoxin-XVI.11) (HNTX-XVI.11) (Peptide F4-19.87),17,25
D2Y274,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1e (U11-TRTX-Hhn1e) (Hainantoxin-XVI-5) (HNTX-XVI-5),17,25
D2Y270,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1a (U11-TRTX-Hhn1a) (Hainantoxin-XVI.18) (HNTX-XVI.18) (Peptide F4-19.87),17,25
D2Y269,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1a (U11-TRTX-Hhn1a) (Hainantoxin-XVI.17) (HNTX-XVI.17) (Peptide F4-19.87),17,25
D2Y292,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1a (U11-TRTX-Hhn1a) (Hainantoxin-XVI.19) (HNTX-XVI.19) (Peptide F4-19.87),17,25
D2Y2P5,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1x (U11-TRTX-Hhn1x) (Hainantoxin-XVI-27) (HNTX-XVI-27),17,25
A0A1D0BZZ2,Araneae,Hexathelidae,Hadronyche,"Neurotoxin 14 (magi-1) family, 08 (Ltx-4) subfamily",U15-hexatoxin-Hi1a (U15-HXTX-Hi1a) (SF20 peptide),17,25
D2Y287,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1q (U11-TRTX-Hhn1q) (Hainantoxin-XVI-17) (HNTX-XVI-17),17,25
D2Y299,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U9-theraphotoxin-Hhn1a (U9-TRTX-Hhn1a) (Hainantoxin-XIX) (HNTX-XIX),17,25
D2Y297,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1a (U11-TRTX-Hhn1a) (Hainantoxin-XVI.24) (NTX-XVI.24) (Peptide F4-19.87),17,25
D2Y279,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1i (U11-TRTX-Hhn1i) (Hainantoxin-XVI-9) (HNTX-XVI-9),17,25
D2Y2P3,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1a (U11-TRTX-Hhn1a) (Hainantoxin-XVI.28) (HNTX-XVI.28) (Peptide F4-19.87),17,25
D2Y285,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1o (U11-TRTX-Hhn1o) (Hainantoxin-XVI-15) (HNTX-XVI-15),17,25
D2Y298,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1a (U11-TRTX-Hhn1a) (Hainantoxin-XVI.25) (HNTX-XVI.25) (Peptide F4-19.87),17,25
D2Y2P8,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1b (U11-TRTX-Hhn1b) (Hainantoxin-XVI-2.2) (HNTX-XVI-2.2),17,25
D2Y293,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1a (U11-TRTX-Hhn1a) (Hainantoxin-XVI.20) (HNTX-XVI.20) (Peptide F4-19.87),17,25
P0DV32,Araneae,Theraphosidae,Acanthoscurria,"Neurotoxin 14 (magi-1) family, 08 (Ltx-4) subfamily",Omega toxin Ap5 [Cleaved into: Omega toxin Ap3],17,25
D2Y276,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1f (U11-TRTX-Hhn1f) (Hainantoxin-XVI-6.2) (HNTX-XVI-6.2),17,25
D2Y254,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1a (U11-TRTX-Hhn1a) (Hainantoxin-XVI.2) (HNTX-XVI.2) (Peptide F4-19.87),17,25
W4VSI4,Araneae,Barychelidae,Trittame,"Neurotoxin 14 (magi-1) family, 06 (ICK-Trit) subfamily",U16-barytoxin-Tl1d (U16-BATX-Tl1d) (Toxin ICK-28),17,25
D2Y266,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1a (U11-TRTX-Hhn1a) (Hainantoxin-XVI.14) (HNTX-XVI.14) (Peptide F4-19.87),17,25
D2Y277,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1g (U11-TRTX-Hhn1g) (Hainantoxin-XVI-7) (HNTX-XVI-7),17,25
D2Y253,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1a (U11-TRTX-Hhn1a) (Hainantoxin-XVI) (HNTX-XVI) (Peptide F4-19.87),17,25
D2Y291,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1u (U11-TRTX-Hhn1u) (Hainantoxin-XVI-21) (HNTX-XVI-21),17,25
D2Y280,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1j (U11-TRTX-Hhn1j) (Hainantoxin-XVI-10) (HNTX-XVI-10),17,25
D2Y2I1,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1a (U11-TRTX-Hhn1a) (Hainantoxin-XVI.26) (HNTX-XVI.26) (Peptide F4-19.87),17,25
D2Y284,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1n (U11-TRTX-Hhn1n) (Hainantoxin-XVI-14) (HNTX-XVI-14),17,25
D2Y259,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1a (U11-TRTX-Hhn1a) (Hainantoxin-XVI.7) (HNTX-XVI.7) (Peptide F4-19.87),17,25
D2Y286,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1p (U11-TRTX-Hhn1p) (Hainantoxin-XVI-16) (HNTX-XVI-16),17,25
D2Y257,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1a (U11-TRTX-Hhn1a) (Hainantoxin-XVI.5) (HNTX-XVI.5) (Peptide F4-19.87),17,25
D2Y290,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1t (U11-TRTX-Hhn1t) (Hainantoxin-XVI-20) (HNTX-XVI-20),17,25
D2Y281,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1k (U11-TRTX-Hhn1k) (Hainantoxin-XVI-11) (HNTX-XVI-11),17,25
D2Y275,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1f (U11-TRTX-Hhn1f) (Hainantoxin-XVI-6) (HNTX-XVI-6),17,25
D2Y262,Araneae,Theraphosidae,Cyriopagopus,"Neurotoxin 14 (magi-1) family, 01 (HNTX-16) subfamily",U11-theraphotoxin-Hhn1a (U11-TRTX-Hhn1a) (Hainantoxin-XVI.10) (HNTX-XVI.10) (Peptide F4-19.87),17,25
